bangla_speech_word,bangla_speech_ipa,barishal_word,barishal_ipa,sylhet_word,sylhet_ipa,mymensingh_word,mymensingh_ipa,noakhali_word,noakhali_ipa,chittagong_word,chittagong_ipa,english_translation,PIE_root,PIE_gloss
অকালে,okal̪e,অকালে,ɔkɐle,অখালে,ɔkʰɐle,অকালে,ɔkɐle,অকালে,ɔkɐle,বুড়,buɽ,At a time,,
অক্টোবরে,oktobre,অক্টোবরে,ɔktobɔɾe,অক্টোবরো,ɔktobɔɾo,অক্টোবরে,cɐhɪd̪ɐ,অক্টোবর,ɔktobɔɾ,চাহিদা,cɐhɪd̪ɐ,In October,,
অতীতে,ot̪it̪e,আগেরকালে,ɐgeɾkɐle,জীবনো,zɪbɔno,অতীতে,ot̪ɪt̪e,অতীতে,ot̪ɪt̪e,ফুনি,funɪ,In the past,,
অনার্স,on̪ars̪ɔ,অনার্স,ɔnɐɾs,সময়,ʃɔmɔe̯,অনার্স,ɔnɐɾs,অনার্স,ɔnɐɾs,অনার্স,ɔnɐɾs,Honors,,
অনুপ্রেরণা,on̪uprerna,অনুপ্রেরণা,onupɾeɾonɐ,চলার,cɔlɐɾ,অনুপ্রেরণা,onupɾeɾonɐ,অনুহেরোনা,onuheɾonɐ,যাইবার,zɐ͡ɪ̯bɐɾ,Inspiration,,
অনুযায়ী,on̪ud͡zae̯i,মত,mɔt̪,অনুযায়ী,onuɟɐʲɪ,অনুযায়ী,onuʲɐʲɪ,অনুযায়ী,onuʲɐʲɪ,মত,mɔt̪,Accordingly,,
অনেকগুলো,on̪ekɡul̪o,বেমালা,bemɐlɐ,বাক্কা,bɐkkɐ,অনেকগুলা,ɔnekgulɐ,মেলাগুন,mɛlɐgun,বউত,bɔ͡u̯t̪o,A lot of,,
অনেকদিন,on̪ekd̪in̪ɔ,অনেকদিন,ɔnekd̪ɪn,বাক্কা,bɐkkɐ,মেলাদিন,ɐge,বহুত,bohut̪,বউদ্দিন,bɔ͡u̯d̪d̪ɪn,Many days,,
অনেকবার,on̪ekbarɔ,বেমালাবার,hɔgɔldɪ,বাক্কাবার,bɐkkɐbɐɾ,অনেকবার,ɔnekbɐɾ,অনেকবার,ɔnekbɐɾ,বহুবার,bohubɐɾ,Many times,,
অন্তত,on̪t̪ɔt̪ɔ,খালি,kʰɐlɪ,নাওয়,nɐ͡o̯e̯,অন্তত,ɛktɐ,এগগা,ɛggɐ,এক্কান,ɛkkɐn,At least,,
অন্যকে,on̪d͡zɔke,অন্যরে,ɔnnoɾe,অন্যকে,ɔnnoke,অন্যরে,ɔnnoɾe,আরিকগা,ɐɾɪkgɐ,অন্যরে,ɔnnoɾe,To the other,,
অন্যদিকে,on̪d͡zɔd̪ike,অন্যদিক,ɔnnod̪ɪk,আরেক,ɐɾek,আরেকদিকে,ɐɾekd̪ɪke,অন্যদিকে,ɔnnod̪ɪke,এডে,ede,On the other hand,,
অন্যভাবে,on̪d͡zɔb̤abe,অন্যভাবে,ɔnnobʱɐbe,অইন্যভাবে,ɔ͡ɪ̯nnobʱɐbe,অন্যভাবে,ɔnnobʱɐbe,অন্যভাবে,ɔnnobʱɐbe,ভাবে,vɐbe,Otherwise,,
অফুরন্ত,oɸurɔn̪t̪ɔ,একছের,ɛkcʰeɾ,অফুরন্ত,ɔpʰuɾont̪o,অফুরন্ত,ɔpʰuɾont̪o,অফুরন্ত,ɔpʰuɾont̪o,আফুরন্ত,ɐfuɾɔnt̪o,Endless,,
অবলা,obl̪a,অবলা,ɔblɐ,বেচারা,becɐɾɐ,অবলা,ɔblɐ,অবলা,ɔblɐ,সহজ,ʃɔhoz,Inhalation,,
অভিভাবকের,ob̤ib̤abkerɔ,অভিভাবক,obʱɪbʱɐbok,বাড়ির,bɐɽɪɾ,অভিভাবকের,obʱɪbʱɐbokeɾ,যায়ধো,ɟɐʲd̪ʱo,হোনো,hono,Guardian,,
