bangla_speech,combined,ipa_output
কেমন আছো ?,Mymensingh কেমত আছো?,menʃɪn kɛmɔt̪ ɐcʰo?
আজকে আমার মন ভালো নেই,Mymensingh আইজ আমার মন ভালা নাই,menosho ɐ͡ɪ̯ɟ ɐmɐɾ mon bʱɐlɐ nɐ͡ɪ̯
তুমি কি করো ?,Mymensingh তুমি কিতা করো?,menʃɪn t̪umɪ kɪt̪ɐ koɾo?
এই গরমে আমার কিছু ভালো লাগে না,Mymensingh এই গরমডাত আমার কিছু ভালা লাগে না,menʃɪn e͡ɪ̯ gɔɾomdɐt̪ ɐmɐɾ kɪcʰu bʱɐlɐ lɐge nɐ
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,Mymensingh ছেড়াটা সাদা রংগের একটা শার্ট পইড়া আইছিল, mɔʲenosho cʰeɽɐtɐ ʃɐd̪ɐ ɾɔŋgeɾ ɛktɐ ʃɐɾt po͡ɪ̯ɽɐ ɐ͡ɪ̯cʰɪlo
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,Mymensingh ছেড়িটা লাল রংগের শাড়ি পইরা আমার সাথে দেখা করতে আইসিল,mɔʲenʃɪn cʰeɽɪtɐ lɐl ɾɔŋgeɾ ʃɐɽɪ po͡ɪ̯ɾɐ ɐmɐɾ ʃɐt̪ʰe d̪ɛkʰɐ koɾt̪e ɐ͡ɪ̯sɪl
ছেলেটি সিলেট থেকে ঢাকায় এসেছে,Mymensingh ছেড়াটা সিলেটতন ঢাকাত আইসে,menʃɪn cʰeɽɐtɐ sɪletɔt̪ɔn dʱɐkɐt̪ ɐ͡ɪ̯ʃe
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,Mymensingh ছেড়িটা সিলেট থাইকা আসা অই ছেড়াটারে অনেক ভালবাসে,mɔʲenogho cʰeɽɪtɐ sɪlet t̪ʰɐ͡ɪ̯kɐ ɐʃɐ ɔ͡ɪ̯ cʰeɽɐtɐɾe ɔnek bʱɐlbɐʃe
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,Mymensingh ছেড়াটা ছেড়িটারে এখনো ভালবাসার চোখে দেখে নাই,menʃɪng cʰeɽɐtɐ cʰeɽɪtɐɾe ɛkʰono bʱɐlbɐʃɐɾ cokʰe d̪ekʰe nɐ͡ɪ̯
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে,Mymensingh ছেড়িটা তার সপ্নের মধ্যে ছেড়াটারে কল্পনা করে,menoʃɪng cʰeɽɪtɐ t̪ɐɾ ʃɔpneɾ mod̪d̪ʱe cʰeɽɐtɐɾe kɔlponɐ koɾe
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,Mymensingh আমার অনেকদিন আগে একবার বিয়া হইছিল,menʃɪn ɐmɐɾ ɔnekd̪ɪn ɐge ɛkbɐɾ bɪʲɐ ho͡ɪ̯cʰɪlo
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,Mymensingh আমার মা আমারে কইসিল বিয়া হইলে জীবন বদলায়া যায়,mɔʲenʃɔn ɐmɐɾ mɐ ɐmɐɾe ko͡ɪ̯sɪl bɪʲɐ ho͡ɪ̯le ɟɪbɔn bɔd̪lɐʲɐ ɟɐe̯
আম্মু ঐদিন ঠিক কথাই বলেছিলও,Mymensingh আম্মা অইদিন ঠিক কথাই কইসিল,menʃɪn ɐmmɐ ɔ͡ɪ̯d̪ɪn tʰɪk kɔt̪ʰɐ͡ɪ̯ ko͡ɪ̯sɪl
আম্মু সব সময় আমার মনের কথা বুঝে,Mymensingh আম্মা সব সময় আমার মনের কথা বুঝে,mɔnoʃɔn ɐmmɐ ʃɔb ʃɔmɔe̯ ɐmɐɾ moneɾ kɔt̪ʰɐ buɟʱe
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,Mymensingh আমার ঘরের কামের ছেড়িটা এখন ভাল মত কাম করে নাহ,mɪnʃɪgh ɐmɐɾ gʱɔɾeɾ kɐmeɾ cʰeɽɪtɐ ɛkʰon bʱɐlo mɔt̪ kɐm koɾe nɐh
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,Mymensingh আমার ঘরের কামের ছেড়িটা দুইদিন ধইরা পালাইছে,menosɪng ɐmɐɾ gʱɔɾeɾ kɐmeɾ cʰeɽɪtɐ d̪u͡ɪ̯d̪ɪn d̪ʱo͡ɪ̯ɾɐ pɐlɐ͡ɪ̯cʰe
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,Mymensingh আমার বাড়ির দারওয়ান এহন অর গ্রামে ঘুরতে গেছে,menʃɪn ɐmɐɾ bɐɽɪɾ d̪ɐɾoʷɐn ehon ɔɾ gɾɐme gʱuɾt̪e gecʰe
