bangla_speech,combined,ipa_output
তোমার আব্বু কেমন আছে?,Barishal  তোমার আব্বায় ক্যামন আছে?,bɐɪʃɐl  t̪omɐɾ ɐbbɐe̯ kɛmon ɐcʰe?
আমার বড়  বোনের আজকে মন ভালো নেই,Barishal  মোর বড় বুইনের আইজগো মন ভালো নাই,bɐɾɔhɐl  moɾ bɔɽo bu͡ɪ̯neɾ ɐ͡ɪ̯ɟgo mon bʱɐlo nɐ͡ɪ̯
তুমি কি আমাকে এই কাজটি করে দিতে পারবে?,Barishal  তুমি কি মোরে এই কামডা কইররা দেতে পারবা?,bɐɾɔhɐl  t̪umɪ kɪ moɾe e͡ɪ̯ kɐmdɐ ko͡ɪ̯ɾɾɐ d̪et̪e pɐɾbɐ?
এই গরমে বাহিরে বের হতে ইচ্ছা করে না,Barishal  এরহম গরমে বায়রায় বাইর হইতে ইচ্ছা করে না,bɐɾɔhɐl  eɾohɔm gɔɾme bɐʲɾɐe̯ bɐ͡ɪ̯ɾ ho͡ɪ̯t̪e ɪccʰɐ koɾe nɐ
তোমার সব কথাই ভুল,Barishal  তোমার হগল কথাই ভুল,bɐɾɔhɐl  t̪omɐɾ hɔgol kɔt̪ʰɐ͡ɪ̯ bʱul
তোমার মত খারাপ ছেলে আমি আর একটাও  দেখিনি,Barishal  তোমার নাহান খারাপ পোলা মুই আর এউক্কাও দেহিনাই,bɐɾɪʃɐl  t̪omɐɾ nɐhɐn kʰɐɾɐp polɐ mu͡ɪ̯ ɐɾ e͡u̯kkɐ͡o̯ d̪ehɪnɐ͡ɪ̯
বিয়ের জন্য আম্মা  আমার জন্য ছেলে  খুজতাসে,Barishal  বিয়ার লইজ্ঞা মায় মোর লইজ্ঞা পোলা খোজতেয়াছে,bɐɾɔʃɐl  bɪʲɐɾ lo͡ɪ̯ggɐ mɐe̯ moɾ lo͡ɪ̯ggɐ polɐ kʰoɟt̪eʲɐcʰe
আব্বা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিল,Barishal  আব্বায় মোরে গ্যাছেকাইল এউক্কা পোলার লগে দ্যাহা করতে কইছেলে,bɐɾɔhɐl  ɐbbɐe̯ moɾe gɛcʰekɐ͡ɪ̯l e͡u̯kkɐ polɐɾ lɔge d̪ɛhɐ koɾt̪e ko͡ɪ̯cʰele
ছেলেটিকে আমার একদমই ভালো লাগেনি,Barishal  পোলাডারে মোর মোডেও ভালো লাগেনাই,bɐɾɪʃɐl  polɐdɐɾe moɾ mode͡o̯ bʱɐlo lɐgenɐ͡ɪ̯
মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,Barishal  মাইয়াডা গোলাপি রঙের কাপুড় পইররা আইল্লেহ,bɐɾɔhɐl  mɐ͡ɪ̯ʲɐdɐ golɐpɪ ɾɔŋeɾ kɐpuɽ po͡ɪ̯ɾɾɐ ɐ͡ɪ̯lleh
আমার দুইদিন পরে বিয়ে হবে,Barishal  মোর দুজ্ঞাদিন পরে বিয়া হইবে,bɐɾɔhɐl  moɾ d̪uggɐd̪ɪn pɔɾe bɪʲɐ ho͡ɪ̯be
ছেলেটি এখন আর বিকালে খেলতে বের হয় না,Barishal  পোলাডা এহন আর বিকালে খ্যালতে বাইর হয় না,bɐɾɔhɐl  polɐdɐ ehon ɐɾ bɪkɐle kʰɛlt̪e bɐ͡ɪ̯ɾ hɔe̯ nɐ
মেয়েটি সকালে ঘুম থেকে উঠেই পরতে বসে,Barishal  মাইয়াডা বেইন্নাহালে ঘুমে গোনে উইঠ্যাই পড়তে বয়,bɐɾɔhɐl  mɐ͡ɪ̯ʲɐdɐ be͡ɪ̯nnɐhɐle gʱume gone u͡ɪ̯tʰɐ͡ɪ̯ poɽt̪e bɔe̯
আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,Barishal  মোর চাচায় বিদ্যাশ গোনে গ্যাছেকাইল বাংলাদেশে আইছে,bɐɾɪʃɐl  moɾ cɐcɐe̯ bɪd̪d̪ɐʃ gone gɛcʰekɐ͡ɪ̯l bɐŋlɐd̪eʃe ɐ͡ɪ̯cʰe
